"keys","zh_CN","en"
"CHART_THRUST","推进器推力 / 时间","Thruster Force / Time"
"CHART_SPEED","速度 / 时间","Speed / Time"
"FILE_DIALOG_TITLE","文件","File"
"FILE_DIALOG_LABEL_NAME","文件名","File Name"
"FILE_DIALOG_LABEL_PATH","路径","Path"
"FILE_DIALOG_BUTTON_BROWSE","浏览","Browse"
"FILE_DIALOG_BUTTON_SAVE","保存","Save"
"FILE_DIALOG_BUTTON_LOAD","加载","Load"
"FILE_DIALOG_DIALOG_TITLE","选择文件","Select File"
"FILE_FILTER_JSON","JSON 文件","JSON Files"
"FILE_FILTER_ALL_FILES","所有文件","All Files"
"FILE_FILTER_ROV_MACHINE","ROV 机器文件","ROV Machine"
"FILE_FILTER_ROV_THRUSTER","ROV 推进器文件","ROV Thruster"
"FILE_FILTER_ROV_RECORD","ROV 记录文件","ROV Record"
"FILE_FILTER_ROV_CHART_LAYOUT","ROV 图表布局","ROV Chart Layout"
"FILE_FILTER_3D_FRAME","3D 框架文件","3D Frame"
"FILE_FILTER_GODOT_RESOURCE","Godot 资源文件","Godot Resource"
"FILE_FILTER_CSV","CSV 文件","CSV"
"MODULE_LABEL_OPTION_DEFAULT","选项","Option"
"MODULE_LABEL_INPUT_DEFAULT","标签","Label"
"MODULE_LABEL_SPIN_DEFAULT","数值","Value"
"MODULE_PANEL_DEFAULT","分组","Group"
"WORKBENCH_SAVE_MACHINE","保存机器","Save Machine"
"WORKBENCH_LOAD_MACHINE","加载机器","Load Machine"
"WORKBENCH_SAVE_THRUSTER","保存推进器","Save Thruster"
"WORKBENCH_LOAD_THRUSTER","加载推进器","Load Thruster"
"WORKBENCH_SAVE_RECORD","保存记录","Save Record"
"WORKBENCH_LOAD_RECORD","加载记录","Load Record"
"WORKBENCH_EXPORT_CSV","导出 CSV","Export CSV"
"WORKBENCH_SAVE_CHARTS","保存图表","Save Charts"
"WORKBENCH_LOAD_CHARTS","加载图表","Load Charts"
"WORKBENCH_RESOURCE_TITLE","项目资源","Project Resources"
"TAB_SIMULATION","3D 仿真","3D Simulation"
"TAB_ASSEMBLY","整机装配","Assembly"
"TAB_THRUSTER_DESIGNER","推进器设计","Thruster Designer"
"TAB_CHARTS","图表分析","Charts"
"TAB_PLAYBACK","记录回放","Playback"
"TAB_REPORT","评估报告","Report"
"RESOURCE_PROJECT_PATH","项目目录","Project Path"
"RESOURCE_MACHINE_PATH","机器文件","Machine File"
"RESOURCE_THRUSTER_PATH","推进器模板","Thruster Template"
"RESOURCE_RECORD_PATH","记录文件","Record File"
"RESOURCE_CHART_PATH","图表布局","Chart Layout"
"RESOURCE_NOT_SAVED","尚未保存","Not saved"
"RECORD_SAMPLE_RATE","采样率","Sample Rate"
"RECORD_FRAME_COUNT","记录帧数","Frames"
"RECORD_SAVE_STATE","保存状态","Save State"
"STATUS_SAVED","已保存","Saved"
"STATUS_UNSAVED","未保存","Unsaved"
"STATUS_MACHINE_SAVED","机器配置已保存","Machine saved"
"STATUS_MACHINE_LOADED","机器配置已加载","Machine loaded"
"STATUS_FRAME_IMPORTED","机器框架已导入","Frame imported"
"STATUS_FRAME_IMPORT_FAILED","机器框架导入失败","Frame import failed"
"STATUS_FRAME_CLEARED","机器框架已清除","Frame cleared"
"STATUS_THRUSTER_TEMPLATE_SAVED","推进器模板已保存","Thruster template saved"
"STATUS_THRUSTER_TEMPLATE_LOADED","推进器模板已加载","Thruster template loaded"
"STATUS_RECORD_SAVED","记录已保存","Record saved"
"STATUS_RECORD_LOADED","记录已加载","Record loaded"
"STATUS_CSV_EXPORTED","CSV 已导出","CSV exported"
"STATUS_CHART_LAYOUT_SAVED","图表布局已保存","Chart layout saved"
"STATUS_CHART_LAYOUT_LOADED","图表布局已加载","Chart layout loaded"
"FORCE_LEGEND_TITLE","力图例","Force Legend"
"FORCE_LEGEND_TEXT","[color=#ff1f14]红色：推进器力[/color]\n[color=#35d260]绿色：浮力[/color]\n[color=#ffdc2e]黄色：重力[/color]\n[color=#267aff]蓝色：阻力[/color]\n[color=#00eade]青色：控制辅助[/color]\n[color=#ffffff]白色：合力[/color]\n[color=#b84dff]紫色：力矩[/color]","[color=#ff1f14]Red: thruster force[/color]\n[color=#35d260]Green: buoyancy[/color]\n[color=#ffdc2e]Yellow: gravity[/color]\n[color=#267aff]Blue: drag[/color]\n[color=#00eade]Cyan: control assist[/color]\n[color=#ffffff]White: net force[/color]\n[color=#b84dff]Purple: torque[/color]"
"FORCE_NET","合力","Net Force"
"FORCE_NET_TORQUE","合力矩","Net Torque"
"CHART_FORCE","力 / 时间","Force / Time"
"CHART_PAGE_MOTION","运动总览","Motion Overview"
"CHART_PAGE_FORCES","力与力矩","Forces and Torque"
"CHART_PAGE_THRUSTERS","推进器监控","Thruster Monitor"
"THRUSTER_DESIGNER_TITLE","推进器模板参数","Thruster Template Parameters"
"MACHINE_MASS","质量 kg","Mass kg"
"MACHINE_VOLUME","排水体积 m³","Displaced Volume m3"
"MACHINE_COM_Y","重心高度 Y m","COM Y m"
"MACHINE_COB_Y","浮心高度 Y m","COB Y m"
"THRUSTER_MAX_FORWARD","最大正推力 N","Max Forward N"
"THRUSTER_MAX_REVERSE","最大反推力 N","Max Reverse N"
"THRUSTER_DIAMETER","直径 m","Diameter m"
"THRUSTER_LENGTH","长度 m","Length m"
"PLAYBACK_TITLE","记录回放","Record Playback"
"PLAYBACK_FRAME","回放帧","Playback Frame"
"PLAYBACK_INFO","加载 .rovrecord.json 后可查看记录摘要并将图表切换到记录数据。","Load a .rovrecord.json file to inspect its summary and chart data."
"PLAYBACK_LOADED_FORMAT","已加载记录：%s\n帧数：%d","Loaded record: %s\nFrames: %d"
"REPORT_TITLE","评估报告","Evaluation Report"
"REPORT_WAITING","等待仿真数据","Waiting for simulation data"
"REPORT_WARN_COB","警告：浮心不高于重心，姿态恢复能力偏弱。","Warning: center of buoyancy is not above center of mass."
"REPORT_PASS_COB","通过：浮心高于重心，有基础自稳趋势。","Pass: center of buoyancy is above center of mass."
"REPORT_WARN_TORQUE","警告：合力矩偏高，推进器布局或阻力参数可能不对称。","Warning: net torque is high; layout may be asymmetric."
"REPORT_PASS_TORQUE","通过：当前合力矩处于可控范围。","Pass: net torque is within the current threshold."
"REPORT_WARN_SYMMETRY","警告：推进器几何中心偏移 %.2f m，布局对称性较弱。","Warning: thruster geometry center offset is %.2f m."
"REPORT_PASS_SYMMETRY","通过：推进器几何中心偏移 %.2f m，对称性可接受。","Pass: thruster geometry center offset is %.2f m."
"REPORT_WARN_VERTICAL_AUTHORITY","警告：垂直推力能力 %.2f，当前推进器布局难以有效改变深度。","Warning: vertical thrust authority %.2f is too low for depth control."
"REPORT_PASS_VERTICAL_AUTHORITY","通过：垂直推力能力 %.2f，可用于深度控制。","Pass: vertical thrust authority %.2f supports depth control."
"ENVIRONMENT_TITLE","环境与海流","Environment and Current"
"CONTROL_SYSTEM_TITLE","控制系统","Control System"
"V2_DASHBOARD_TITLE","工程状态","Engineering State"
"CURRENT_MODE","海流模式","Current Mode"
"CURRENT_MODE_CONSTANT","恒定流","Constant"
"CURRENT_MODE_LAYERED","分层流","Layered"
"CURRENT_MODE_TURBULENT","扰动流","Turbulent"
"CURRENT_X","海流 X m/s","Current X m/s"
"CURRENT_Z","海流 Z m/s","Current Z m/s"
"TURBULENCE_STRENGTH","扰动强度","Turbulence"
"CONTROL_MODE","控制模式","Control Mode"
"CONTROL_MODE_MANUAL","手动","Manual"
"CONTROL_MODE_DEPTH_HOLD","定深","Depth Hold"
"CONTROL_MODE_HEADING_HOLD","定航向","Heading Hold"
"CONTROL_MODE_STABILIZE","稳定辅助","Stabilize"
"TARGET_DEPTH","目标深度 m","Target Depth m"
"TARGET_HEADING","目标航向 deg","Target Heading deg"
"TARGET_SPEED","目标速度 m/s","Target Speed m/s"
"CURRENT_VELOCITY","海流速度","Current Velocity"
"RELATIVE_VELOCITY","相对水速","Relative Velocity"
"SENSOR_DEPTH","深度计","Depth Sensor"
"SENSOR_HEADING","罗盘航向","Compass"
"CONTROL_ERROR","控制误差","Control Error"
"TASK_STATUS","任务状态","Task Status"
"TASK_STATUS_IDLE","未开始","Idle"
"TASK_STATUS_RUNNING","执行中","Running"
"TASK_STATUS_REACHED","达成","Reached"
"TASK_STATUS_DEVIATED","偏离","Deviated"
"CONTROL_ASSIST","辅助力/矩","Assist Force/Torque"
"CHART_V2_ENGINEERING","V2 工程状态","V2 Engineering"
"ASSEMBLY_IMPORT_FRAME","导入框架","Import Frame"
"ASSEMBLY_CLEAR_FRAME","清除框架","Clear Frame"
"ASSEMBLY_FRAME_PATH","框架文件","Frame File"
"ASSEMBLY_SELECTED_THRUSTER","选中推进器","Selected Thruster"
"ASSEMBLY_NO_THRUSTER_SELECTED","未选中推进器","No thruster selected"
"ASSEMBLY_SELECTED_THRUSTER_FORMAT","%s  推力方向 (%.2f, %.2f, %.2f)","%s  force axis (%.2f, %.2f, %.2f)"
"ASSEMBLY_THRUSTER_POS_X","位置 X m","Position X m"
"ASSEMBLY_THRUSTER_POS_Y","位置 Y m","Position Y m"
"ASSEMBLY_THRUSTER_POS_Z","位置 Z m","Position Z m"
"ASSEMBLY_THRUSTER_ROT_X","旋转 Roll deg","Roll deg"
"ASSEMBLY_THRUSTER_ROT_Y","旋转 Pitch deg","Pitch deg"
"ASSEMBLY_THRUSTER_ROT_Z","旋转 Yaw deg","Yaw deg"
"THRUSTER_EDITOR_ROW_FORMAT","%s  位置 %.2f %.2f %.2f  方向 %.2f %.2f %.2f","%s  pos %.2f %.2f %.2f  dir %.2f %.2f %.2f"
"REPORT_WARN_CURRENT","警告：海流速度 %.2f m/s 对姿态和路径有明显影响。","Warning: current speed %.2f m/s has visible effect."
"REPORT_PASS_CURRENT","通过：当前海流影响处于低风险范围。","Pass: current effect is low risk."
"REPORT_WARN_CONTROL","警告：控制误差偏大，深度 %.2f m，航向 %.1f deg。","Warning: control error is high. Depth %.2f m heading %.1f deg."
"REPORT_PASS_CONTROL","通过：控制误差处于当前阈值内。","Pass: control error is within threshold."
"REPORT_WARN_SATURATION","警告：推进器饱和比例 %.0f%%，控制余量不足。","Warning: thruster saturation %.0f%% leaves limited margin."
"REPORT_PASS_SATURATION","通过：推进器仍有控制余量。","Pass: thrusters still have control margin."
"APP_TITLE","SquareDotSerial","SquareDotSerial"
"APP_STATUS_READY","就绪","Ready"
"APP_STATUS_CONNECTED","已连接到 {port}","Connected to {port}"
"APP_STATUS_DISCONNECTED","已断开连接","Disconnected"
"APP_STATUS_PORTS_REFRESHED","串口列表已刷新","Port list refreshed"
"APP_STATUS_PRESET_DELETED","预制已删除","Preset deleted"
"APP_STATUS_AUTOMATION_RUNNING","自动化运行中","Automation running"
"APP_STATUS_AUTOMATION_COMPLETED","自动化已完成","Automation completed"
"APP_STATUS_AUTOMATION_STOPPED","自动化已停止","Automation stopped"
"APP_STATUS_NO_DATA_TO_SEND","没有可发送的数据","No data to send"
"APP_STATUS_SENT_BYTES","已发送 {count} 字节","Sent {count} bytes"
"APP_STATUS_FILE_NOT_FOUND","未找到文件：{path}","File not found: {path}"
"APP_STATUS_FAILED_OPEN_FILE","打开文件失败","Failed to open file"
"APP_STATUS_PRESET_NAME_EMPTY","预制名称为空","Preset name is empty"
"APP_STATUS_PRESET_SAVED","预制已保存","Preset saved"
"APP_STATUS_RECEIVED_BYTES","已接收 {count} 字节","Received {count} bytes"
"APP_STATUS_LOG_SAVED","日志已保存","Log saved"
"APP_STATUS_CSV_EXPORTED","CSV 已导出","CSV exported"
"APP_TAB_PROTOCOL","协议","Protocol"
"APP_TAB_CHARTS","图表","Charts"
"APP_TAB_AUTOMATION","自动化","Automation"
"APP_LABEL_PORT","串口：{port}","Port: {port}"
"APP_LABEL_STATS","接收 {rx} | 发送 {tx} | 错误 {err}","RX {rx} | TX {tx} | ERR {err}"
"MENU_LANGUAGE","语言","Language"
"MENU_LANGUAGE_ZH_CN","简体中文","Simplified Chinese"
"MENU_LANGUAGE_EN","英语","English"
"MENU_FONT_SIZE","字体大小","Font Size"
"MENU_FONT_SIZE_SMALL","小","Small"
"MENU_FONT_SIZE_MEDIUM","中","Medium"
"MENU_FONT_SIZE_LARGE","大","Large"
"APP_STATUS_LANGUAGE_CHANGED","语言已切换为 {language}","Language set to {language}"
"APP_STATUS_FONT_SIZE_CHANGED","字体大小已切换为 {size}","Font size set to {size}"
"SERIAL_CONNECT","连接","Connect"
"SERIAL_DISCONNECT","断开","Disconnect"
"SERIAL_REFRESH","刷新","Refresh"
"SERIAL_ONLINE","在线","Online"
"SERIAL_OFFLINE","离线","Offline"
"SERIAL_NO_PORTS","无串口","No Ports"
"SERIAL_PARITY_NONE","无","None"
"SERIAL_PARITY_ODD","奇校验","Odd"
"SERIAL_PARITY_EVEN","偶校验","Even"
"SERIAL_FLOW_NONE","无","None"
"SERIAL_FLOW_SOFTWARE","软件流控","Software"
"SERIAL_FLOW_HARDWARE","硬件流控","Hardware"
"COMMON_MODE_ASCII","ASCII","ASCII"
"COMMON_MODE_HEX","HEX","HEX"
"COMMON_STAT_RX","接收","RX"
"COMMON_STAT_TX","发送","TX"
"COMMON_STAT_ERR","错误","ERR"
"SEND_TITLE","发送与预制","Send & Presets"
"SEND_BUTTON_SEND","发送","Send"
"SEND_BUTTON_CLEAR","清空","Clear"
"SEND_EDITOR_PLACEHOLDER","ASCII 文本或 HEX 字节流","ASCII text or HEX bytes"
"SEND_PRESETS","预制列表","Presets"
"SEND_PRESET_FALLBACK","未命名预制","Unnamed Preset"
"SEND_PRESET_NAME_PLACEHOLDER","预制名称","Preset name"
"SEND_BUTTON_SAVE_PRESET","保存预制","Save Preset"
"SEND_BUTTON_DELETE","删除","Delete"
"SEND_AUTO_TITLE","自动发送","Auto Send"
"SEND_AUTO_MODE_CONTINUOUS","连续","Continuous"
"SEND_AUTO_MODE_COUNT","定次","Count"
"SEND_BUTTON_START","开始","Start"
"SEND_BUTTON_STOP","停止","Stop"
"SEND_FILE_TITLE","文件发送","File Send"
"SEND_FILE_PANEL_TITLE","文件发送","File Send"
"SEND_FILE_PATH_PLACEHOLDER",".bin 或 .hex 文件路径","Path to .bin or .hex file"
"SEND_BUTTON_SEND_FILE","发送文件","Send File"
"SEND_BUTTON_BROWSE_FILE","选择文件","Browse File"
"RECEIVE_TITLE","接收、解析与导出","Receive, Parse & Export"
"RECEIVE_PLACEHOLDER_SEARCH","搜索","Search"
"RECEIVE_AUTO_SCROLL","自动滚动","Auto Scroll"
"RECEIVE_BUTTON_CLEAR","清空","Clear"
"RECEIVE_PARSED_FIELDS","解析字段","Parsed Fields"
"RECEIVE_COLUMN_FIELD","字段","Field"
"RECEIVE_COLUMN_VALUE","数值","Value"
"RECEIVE_COLUMN_HEX","十六进制","Hex"
"RECEIVE_COLUMN_STATUS","状态","Status"
"RECEIVE_STATUS_OK","正常","OK"
"RECEIVE_STATUS_FAIL","失败","FAIL"
"RECEIVE_LOG_PATH","日志输出路径","Log Output Path"
"RECEIVE_CSV_PATH","CSV 输出路径","CSV Output Path"
"RECEIVE_BUTTON_SAVE_LOG","保存日志","Save Log"
"RECEIVE_BUTTON_EXPORT_CSV","导出 CSV","Export CSV"
"RECEIVE_LOG_FILE_PANEL_TITLE","日志输出文件","Log Output File"
"RECEIVE_CSV_FILE_PANEL_TITLE","CSV 输出文件","CSV Output File"
"RECEIVE_BUTTON_BROWSE_LOG","选择日志路径","Browse Log Path"
"RECEIVE_BUTTON_BROWSE_CSV","选择 CSV 路径","Browse CSV Path"
"PROTOCOL_TITLE","协议构建与解析","Protocol Builder & Parser"
"PROTOCOL_TAB_PACKET_BUILDER","组包","Packet Builder"
"PROTOCOL_TAB_PARSER","解析器","Parser"
"PROTOCOL_PACKET_NAME_PLACEHOLDER","组包方案名称","Packet recipe name"
"PROTOCOL_BUTTON_SAVE_RECIPE","保存方案","Save Recipe"
"PROTOCOL_BUTTON_LOAD_RECIPE","加载方案","Load Recipe"
"PROTOCOL_BUTTON_BROWSE_PACKET","选择组包路径","Browse Packet Path"
"PROTOCOL_BUTTON_BUILD_PREVIEW","生成预览","Build Preview"
"PROTOCOL_BUTTON_SEND_BUILT_PACKET","发送构建报文","Send Built Packet"
"PROTOCOL_PARSE_NAME_PLACEHOLDER","解析方案名称","Parse recipe name"
"PROTOCOL_FRAME_HEAD_PLACEHOLDER","帧头 HEX","Frame head hex"
"PROTOCOL_FRAME_TAIL_PLACEHOLDER","帧尾 HEX","Frame tail hex"
"PROTOCOL_BUTTON_SAVE_PARSER","保存解析器","Save Parser"
"PROTOCOL_BUTTON_LOAD_PARSER","加载解析器","Load Parser"
"PROTOCOL_PACKET_FILE_PANEL_TITLE","组包方案文件","Packet Recipe File"
"PROTOCOL_PARSER_FILE_PANEL_TITLE","解析方案文件","Parse Recipe File"
"PROTOCOL_BUTTON_BROWSE_PARSER","选择解析路径","Browse Parser Path"
"PROTOCOL_LABEL_KIND","类型","Kind"
"PROTOCOL_LABEL_NAME","名称","Name"
"PROTOCOL_LABEL_FRAME_HEAD","帧头","Frame Head"
"PROTOCOL_LABEL_FRAME_TAIL","帧尾","Frame Tail"
"PROTOCOL_LABEL_FIXED_LENGTH","固定长度","Fixed Length"
"PROTOCOL_LABEL_VALUE","值","Value"
"PROTOCOL_LABEL_BITS","位宽","Bits"
"PROTOCOL_LABEL_ENDIAN","字节序","Endian"
"PROTOCOL_LABEL_ALGORITHM","算法","Algorithm"
"PROTOCOL_LABEL_AUTO_MODE","自动模式","Auto Mode"
"PROTOCOL_LABEL_MIN","最小值","Min"
"PROTOCOL_LABEL_MAX","最大值","Max"
"PROTOCOL_LABEL_STEP","步进","Step"
"PROTOCOL_LABEL_SCOPE","校验范围","Scope"
"PROTOCOL_LABEL_CHART","图表","Chart"
"PROTOCOL_BUTTON_ADD","新增","Add"
"PROTOCOL_BUTTON_APPLY","应用","Apply"
"PROTOCOL_BUTTON_DELETE","删除","Delete"
"PROTOCOL_BUTTON_UP","上移","Up"
"PROTOCOL_BUTTON_DOWN","下移","Down"
"PROTOCOL_VALUE_KIND_CONSTANT","常量","Constant"
"PROTOCOL_VALUE_KIND_DATA","数据","Data"
"PROTOCOL_VALUE_KIND_CHECKSUM","校验","Checksum"
"PROTOCOL_VALUE_ENDIAN_BE","大端","BE"
"PROTOCOL_VALUE_ENDIAN_LE","小端","LE"
"PROTOCOL_VALUE_AUTO_FIXED","固定","Fixed"
"PROTOCOL_VALUE_AUTO_CYCLE","循环","Cycle"
"PROTOCOL_VALUE_SCOPE_PLACEHOLDER","all_previous 或 id 列表","all_previous or ids"
"PROTOCOL_VALUE_EDIT_PLACEHOLDER","HEX 字节或数值","hex bytes or numeric value"
"PROTOCOL_STATUS_RECIPE_SAVED","组包方案已保存","Packet recipe saved"
"PROTOCOL_STATUS_RECIPE_LOADED","组包方案已加载","Packet recipe loaded"
"PROTOCOL_STATUS_PARSER_SAVED","解析方案已保存","Parse recipe saved"
"PROTOCOL_STATUS_PARSER_LOADED","解析方案已加载","Parse recipe loaded"
"PROTOCOL_PREVIEW_HEX","HEX：","HEX:"
"PROTOCOL_PREVIEW_FIELDS","字段：","Fields:"
"CHARTS_TITLE","图表","Charts"
"CHARTS_PAUSE","暂停","Pause"
"CHARTS_CLEAR","清空图表","Clear Chart"
"CHARTS_SELECT_FIELDS","请选择数值字段","Select numeric fields"
"CHARTS_PARSED_NUMERIC_FIELDS","解析数值字段","Parsed Numeric Fields"
"CHARTS_AXIS_SAMPLE","样本","Sample"
"CHARTS_AXIS_VALUE","值","Value"
"AUTOMATION_TITLE","自动化","Automation"
"AUTOMATION_FILE_PANEL_TITLE","自动化文件","Automation File"
"AUTOMATION_BUTTON_SAVE","保存","Save"
"AUTOMATION_BUTTON_LOAD","加载","Load"
"AUTOMATION_LABEL_TYPE","类型","Type"
"AUTOMATION_LABEL_FIELD_FROM","字段/起始","Field/From"
"AUTOMATION_LABEL_VALUE_COUNT","值/次数","Value/Count"
"AUTOMATION_LABEL_TIMEOUT_DELAY","超时/延时","Timeout/Delay"
"AUTOMATION_FIELD_PLACEHOLDER","字段名或起始索引","field name or from index"
"AUTOMATION_BUTTON_ADD","新增","Add"
"AUTOMATION_BUTTON_APPLY","应用","Apply"
"AUTOMATION_BUTTON_DELETE","删除","Delete"
"AUTOMATION_BUTTON_UP","上移","Up"
"AUTOMATION_BUTTON_DOWN","下移","Down"
"AUTOMATION_BUTTON_RUN","运行","Run"
"AUTOMATION_BUTTON_STOP","停止","Stop"
"AUTOMATION_STATUS_SAVED","自动化方案已保存","Automation saved"
"AUTOMATION_STATUS_LOADED","自动化方案已加载","Automation loaded"
"AUTOMATION_STEP_SEND_RECIPE","发送当前组包","send recipe"
"AUTOMATION_STEP_DELAY","延时 {delay} 毫秒","delay {delay} ms"
"AUTOMATION_STEP_WAIT_RESPONSE","等待 {timeout} 毫秒","wait {timeout} ms"
"AUTOMATION_STEP_ASSERT","断言 {field} == {value}","assert {field} == {value}"
"AUTOMATION_STEP_LOOP","从 {from} 开始循环 {count} 次","loop from {from} x{count}"
"AUTOMATION_TYPE_SEND_RECIPE","发送当前组包","Send Recipe"
"AUTOMATION_TYPE_DELAY","延时","Delay"
"AUTOMATION_TYPE_WAIT_RESPONSE","等待响应","Wait Response"
"AUTOMATION_TYPE_ASSERT_EQUALS","字段断言","Assert Field Equals"
"AUTOMATION_TYPE_LOOP","循环","Loop"
"SERVICE_ERR_PORT_NAME_EMPTY","串口名称为空","Port name is empty"
"SERVICE_ERR_FAILED_OPEN","打开 {port} 失败","Failed to open {port}"
"SERVICE_ERR_FAILED_APPLY","应用串口参数到 {port} 失败","Failed to apply serial parameters to {port}"
"SERVICE_ERR_FAILED_RECONFIGURE","重新配置 {port} 失败","Failed to reconfigure {port}"
"SERVICE_ERR_NO_PORT_CONNECTED","当前未连接串口","No serial port connected"
"SERVICE_ERR_WRITE_FAILED","写入失败","Write failed"
"SERVICE_ERR_PORT_DISCONNECTED","串口已断开：{port}","Port disconnected: {port}"
"RUNNER_ALREADY_RUNNING","自动化已在运行","Automation already running"
"RUNNER_STOPPED","自动化已停止","Automation stopped"
"RUNNER_STARTED","自动化已开始","Automation started"
"RUNNER_STEP_SEND_RECIPE","步骤 {index}：发送当前组包","Step {index}: send recipe"
"RUNNER_STEP_SEND_RECIPE_FAILED","发送当前组包失败","Send recipe failed"
"RUNNER_STEP_DELAY","步骤 {index}：延时 {delay} 毫秒","Step {index}: delay {delay} ms"
"RUNNER_STEP_WAIT_RESPONSE","步骤 {index}：等待响应 {timeout} 毫秒","Step {index}: wait response {timeout} ms"
"RUNNER_STEP_WAIT_TIMEOUT","等待响应超时","Wait response timeout"
"RUNNER_STEP_ASSERT","步骤 {index}：断言 {field} == {value}","Step {index}: assert {field} == {value}"
"RUNNER_ASSERT_FAILED","断言失败：{actual} != {expected}","Assertion failed: {actual} != {expected}"
"RUNNER_STEP_LOOP","步骤 {index}：循环 {current}/{count} 次，跳转到 {from}","Step {index}: loop {current}/{count} to {from}"
"RUNNER_STEP_LOOP_COMPLETE","步骤 {index}：循环完成","Step {index}: loop complete"
"RUNNER_STEP_UNKNOWN","步骤 {index}：未知步骤 {type}","Step {index}: unknown step {type}"
"RUNNER_COMPLETED","自动化完成：{result}","Automation completed: {result}"
"RUNNER_RESULT_SUCCESS","成功","success"
"RUNNER_RESULT_FAILED","失败","failed"
"FILE_FILTER_BINARY","二进制文件","Binary Files"
"FILE_FILTER_INTEL_HEX","Intel HEX 文件","Intel HEX"
"FILE_FILTER_LOG","日志文件","Log Files"
"FILE_FILTER_TEXT","文本文件","Text Files"
